Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Total from North Africa and West/Central Asia,109 877,115 319,121 041,103 916,101 467,79 708,88 505,92 239,92 773,95 731,81 418,73 859,93 324,81 902,60 969,44 084,63 690,63 060,51 994,41 475
Syria,14 686,5 877,4 800,3 840,3 540,3 366,3 014,2 785,2 555,2 442,2 641,2 385,2 918,2 831,2 256,1 938,2 557,3 350,2 367,2 048
Iraq,14 351,14 203,18 904,21 107,19 153,9 552,20 369,21 133,19 855,12 110,4 795,3 765,4 337,4 077,3 494,2 450,5 174,4 965,5 087,3 360
Afghanistan,12 935,19 538,12 513,8 328,10 527,2 196,1 617,1 648,2 017,3 165,2 813,1 753,3 417,4 749,2 137,1 252,1 759,1 202,1 011,877
Iran,10 116,13 791,13 298,13 114,11 615,12 863,12 916,14 822,14 182,18 553,13 852,10 460,13 947,13 887,10 434,7 230,12 960,10 425,8 487,7 176
Egypt,9 826,9 834,12 045,12 085,11 477,10 294,8 988,7 778,8 978,8 844,8 712,9 267,10 500,7 905,5 522,3 348,4 852,5 159,4 450,4 421
Turkey,5 585,4 844,4 469,4 201,3 834,4 144,4 162,4 403,4 483,4 958,4 210,4 425,4 941,4 614,3 835,3 029,3 375,3 215,2 606,2 215
Jordan,5 322,5 264,5 269,4 664,5 187,4 188,4 099,3 876,3 868,4 282,3 936,3 917,4 038,3 748,3 431,2 927,3 964,4 572,3 900,3 269
Uzbekistan,4 612,4 095,4 359,3 977,5 194,4 382,4 726,5 056,4 770,5 467,6 375,4 665,4 015,2 887,1 995,1 445,2 317,2 031,1 631,1 221
Israel,3 706,3 802,4 142,3 965,3 805,3 996,4 153,3 826,4 515,5 612,5 851,4 496,5 943,5 755,4 160,2 741,3 826,3 744,2 783,1 847
Sudan,3 658,3 515,3 159,3 580,2 442,1 945,2 471,2 628,2 397,3 577,3 598,2 930,5 504,5 231,3 211,1 883,2 921,1 650,1 531,1 346
Armenia,3 217,3 437,3 543,2 962,2 913,2 722,2 681,2 983,2 979,3 442,3 586,4 351,6 317,2 591,1 833,1 287,1 800,1 762,1 253,1 250
Morocco,3 077,4 229,4 586,3 710,3 605,3 336,3 656,4 399,5 013,5 447,4 425,4 513,4 949,4 411,4 128,3 137,3 387,4 958,3614,2 970
Lebanon,2 581,2 818,2 971,2 813,3 245,2 783,2 879,3 295,3 487,3 831,4 254,4 267,4 083,4 282,3 818,2 956,3 935,4 579,3 662,3 033
Algeria,2 123,2 139,2 180,1 775,1 669,1 241,1 369,1 364,1 305,1 485,1 037,1 036,1 300,1 115,805,759,1 030,875,906,789
Saudi Arabia,2 100,2 135,2 117,1 744,1 696,1 463,1 343,1 396,1 263,1 418,1 194,1 171,1 542,1 210,906,735,1 014,1 178,1 063,759
Yemen,1 885,6 029,13 040,3 194,3 492,3 532,2 620,3 361,3 591,3 134,1 872,2 396,4 308,3 366,1 760,1 382,1 227,1 607,1 789,1 160
Georgia,1 643,1 629,1 635,1 410,1 240,1 368,1 341,1 490,1 518,1 578,1 620,1 554,2 003,1 389,964,735,886,786,493,310
U.A.E.,1 379,1 314,1 370,1 193,1 039,910,854,707,779,697,693,758,1 006,812,596,380,472,461,436,310
Kazakhstan,1 378,1 377,1 310,1 201,1 221,1 241,1 202,1 235,1 282,1 562,1 630,1 604,2 073,2 223,1 906,1 740,2 315,2 310,1 493,723
Kuwait,1 090,1 177,1 186,1 055,1 057,937,1 044,973,1 037,1 124,1 104,1 017,1 230,1 152,1 091,710,1 063,1 270,1 018,803
Azerbaijan,1 015,881,784,676,672,637,663,728,781,834,,,,,,,,,,
Kyrgyzstan,908,715,847,790,707,652,648,542,507,574,,,,,,,,,,
Tajikistan,893,652,593,595,516,550,411,382,299,265,,,,,,,,,,
Tunisia,517,535,518,518,429,445,422,440,418,416,,,,,,,,,,
Libya,499,780,642,734,524,376,315,357,355,296,,,,,,,,,,
Rest*,775,709,761,777,668,589,542,632,539,880,3 220,3 129,4 953,3 667,2 687,2 020,2 856,2 961,2 414,1 588
